"","kME_MM.turquoise","kME_MM.yellow","kME_MM.brown","kME_MM.blue","kME_MM.green","kME_MM.grey"
"Gene.733",-0.444031267804783,-0.57805420310283,0.396297209413867,0.761101581219838,0.958072200638602,-0.512492574712623
"Gene.734",0.889757440837438,0.866091171771083,0.25318032443043,-0.435747582897554,-0.394512235675914,0.3957468688635
"Gene.735",0.175794581990238,0.402395428646814,-0.362118701970998,-0.449367103808969,-0.379166185075872,0.544876973255704
"Gene.736",0.905674441794067,0.627755599040476,0.409076516827892,-0.257313466666692,-0.296795451124261,0.338528233958183
"Gene.737",0.949096105116615,0.69365772536404,0.428405907251391,-0.308292746100389,-0.373252792004526,0.248364173914059
"Gene.738",-0.221642518549914,-0.437674489670077,0.31182826799958,0.564221452595903,0.686123850204571,-0.152769716719077
"Gene.739",0.903572146565766,0.71389084434893,0.245997708750673,-0.442981860747852,-0.436528227585404,0.461266701594943
"Gene.740",0.90438339551205,0.641617885415089,0.337669780092123,-0.315158476212022,-0.363164082148125,0.381829639302472
"Gene.741",0.129743468965432,0.549643188537997,-0.57035917153249,-0.63902442106209,-0.425619465734767,0.79832846644361
"Gene.742",0.748128952151806,0.951807142849372,0.0400039836884674,-0.560318209559588,-0.440029172883875,0.56451268819137
"Gene.743",0.489307049736286,0.687291033041286,-0.250136352093136,-0.615082436572476,-0.527578509358291,0.699435126559908
"Gene.744",0.866189575316055,0.556278015183573,0.377251514971236,-0.257756412664202,-0.356312439106974,0.334513746828257
"Gene.745",0.939715787809748,0.628039574814207,0.571194846227842,-0.129267685768347,-0.147397503250688,0.218832221492718
"Gene.746",0.918716713633622,0.673536976249015,0.417682857945318,-0.268336043484438,-0.322344680931053,0.269573784784668
"Gene.747",0.94855626906612,0.778441764040638,0.440630755224009,-0.305509375860529,-0.298875338804306,0.256502514651693
"Gene.748",0.703089186323462,0.514416970482772,0.0894157898169362,-0.432545176657322,-0.490906778341665,0.384648750263166
"Gene.749",-0.438214446029955,-0.586878223299732,0.282955706729527,0.669879009566951,0.748326281008403,-0.297533606428251
"Gene.750",0.868523311267458,0.920794091364627,0.221021382547124,-0.468853956768057,-0.369600185261338,0.447359239597517
"Gene.751",0.503843190437469,0.436413292383823,-0.159075951892337,-0.546388969926984,-0.620805377200587,0.403517170130234
"Gene.752",0.125006208686828,0.316633576466856,-0.545079905417959,-0.600774254004489,-0.389112708470594,0.74775239343839
"Gene.753",0.218921702953149,0.564338548715648,-0.539567413269354,-0.749838092215551,-0.640878933408915,0.600886096743747
"Gene.754",0.761015259123342,0.601927215982509,0.224387605141549,-0.321077630298255,-0.326919130725643,0.430209679045083
"Gene.755",0.289218972463669,0.507386764046883,-0.449734019591168,-0.689952273603001,-0.696584394939489,0.497230718341718
"Gene.756",0.442647406258862,0.343478330512552,-0.010188094733678,-0.299031473589699,-0.452395190438591,0.326877673576405
"Gene.757",0.929416918192559,0.600364376303581,0.448933299431801,-0.276283947853348,-0.460880088391752,0.127700344935968
"Gene.758",0.973936539218427,0.689581717517628,0.492808024362342,-0.246266704682302,-0.334230974636366,0.254109738941071
"Gene.759",0.854001539420508,0.643763162114702,0.293280372308204,-0.338064323894015,-0.528949368917078,0.35021318061987
"Gene.760",-0.600435942024317,-0.609255166651988,0.112580924297369,0.568186797229943,0.595251495819476,-0.423516824409638
"Gene.761",0.947563888503981,0.791749914796343,0.363919223545026,-0.381666497768785,-0.412742898910767,0.316209603142608
"Gene.762",0.862341892435932,0.711673940133474,0.245004660987239,-0.434004328658343,-0.598063091029926,0.288909841857788
"Gene.763",-0.0741606319561035,-0.288161121428133,0.586539552921854,0.656898524429033,0.296534429491531,-0.623994527069072
"Gene.764",0.927028550902245,0.829825132342875,0.382422823397375,-0.348091383631643,-0.275026585578324,0.347136951004127
"Gene.765",0.670431859646457,0.856304387636662,-0.0499783870562048,-0.591105265002955,-0.609756911998372,0.478565200554942
"Gene.766",0.45604397193473,-0.0534523527256195,0.912900232408134,0.572660915830666,0.287411219891765,-0.514051845573405
"Gene.767",0.0191997390894228,-0.439165779477991,0.693459158134154,0.722596357128672,0.565202454909998,-0.536630008136458
"Gene.768",-0.402356985225576,-0.518019680937418,0.337244217759824,0.628116459974391,0.647905526182827,-0.643639523602078
"Gene.769",0.662636089092788,0.935026370283964,-0.0404251770840131,-0.585962939053459,-0.375807717815392,0.542462210569945
"Gene.770",0.37537776704941,0.808538761194311,-0.274609161790031,-0.595025945143785,-0.313092217195388,0.529588989943006
"Gene.771",0.91615433510083,0.70159659958166,0.391594167965008,-0.31493515384656,-0.496140436271461,0.214136279725938
"Gene.772",0.95144528221353,0.731373242346783,0.417907700858029,-0.319619607969787,-0.446304377226509,0.220807997117968
"Gene.773",0.757004688937193,0.44681944219206,0.292496686068561,-0.27794652615642,-0.594020427799972,0.113710898845821
"Gene.774",0.800739596721283,0.622416863493125,0.198637436791386,-0.416538028128866,-0.352877761457742,0.36960463595634
"Gene.775",-0.0291678447410383,0.136939402867808,-0.541788413099874,-0.447151463392537,-0.493640790494553,0.601832787313307
"Gene.776",0.933443191915869,0.670147135346882,0.466441742968865,-0.249856733491226,-0.392451703219924,0.188572550915945
"Gene.777",0.977467555913861,0.740221575170789,0.448952125322414,-0.306623829390992,-0.357290076127098,0.276873306945492
"Gene.778",-0.530374739948353,-0.660189833513498,0.195989023427497,0.598626481783104,0.334718209265934,-0.633707082546566
"Gene.779",-0.0688995886942054,-0.154932048119105,0.418535384441705,0.43135189628558,0.107131339321793,-0.616805338115532
"Gene.780",0.857019713565916,0.62741769890403,0.350927533671213,-0.304330876395524,-0.450813847384546,0.284027540329383
"Gene.781",0.724732170459148,0.623744756099756,0.0284216900579566,-0.491468620268809,-0.594222980039424,0.583875316769756
"Gene.782",-0.45744815140516,-0.472097969975082,0.274962296662044,0.665542393440626,0.712556216078819,-0.384160379717837
"Gene.783",0.949786615349191,0.675627170784756,0.489254383250678,-0.244629287228714,-0.253104200184783,0.230177873421985
"Gene.784",0.697475712449406,0.505091708064054,0.277248306630013,-0.204267009341229,0.0359904330700685,0.471323463648325
"Gene.785",0.952736708400511,0.723461022879791,0.461908619627943,-0.280901767152024,-0.341345267300804,0.191380682266681
"Gene.786",0.807313120629278,0.7005989462377,0.222868129158579,-0.370049258558633,-0.267187219573566,0.538043199253044
"Gene.787",-0.244111005523687,-0.566289649748993,0.620095165689884,0.85521949701298,0.847062750200987,-0.554543498456078
"Gene.788",0.916572099904408,0.886505482966405,0.285332601924321,-0.4295269891165,-0.378586894957128,0.407623960423009
"Gene.789",0.135394055831489,-0.178126453266358,0.579486222532907,0.433721794469859,0.162792301716246,-0.552557452077465
"Gene.790",0.966302134699313,0.644918338935874,0.490410948470702,-0.247050319629397,-0.319414866381735,0.254396889170508
"Gene.791",0.95679239779313,0.685760299564034,0.50616672548723,-0.231697302821575,-0.357702222847866,0.182151556863878
"Gene.792",0.947515234276498,0.623312064443494,0.521100587032153,-0.209816108180298,-0.27339647911134,0.176850660248911
"Gene.793",0.955745695594302,0.63420036052733,0.508022239400321,-0.219390989696698,-0.273623077704568,0.217112539390631
"Gene.794",0.81159790766826,0.90545912502331,0.174170589327353,-0.466124182062383,-0.475520104863534,0.392012635697134
"Gene.795",0.714470719031335,0.927452777095439,0.0620594114403072,-0.50521404388406,-0.288959185549028,0.54183187064673
"Gene.796",0.93873886738136,0.665731594853102,0.464343431100935,-0.26401336376942,-0.325572634099022,0.200100466113964
"Gene.797",0.962878539144489,0.638233628292295,0.501788554445042,-0.225979114832434,-0.325640737932279,0.221173101233738
"Gene.798",0.124219174782585,0.517151174250514,-0.512713996397457,-0.591047967306423,-0.282623903145694,0.774960833325581
"Gene.799",0.970614743301289,0.694033862365507,0.503700978201921,-0.235320976749319,-0.312542053579186,0.251599966796381
"Gene.800",0.975471526530182,0.705043842102452,0.485161811741524,-0.257291956786974,-0.363620968780321,0.256332191064189
"Gene.801",-0.0545010318399188,-0.398780273046691,0.534766512783019,0.612445641332432,0.701031770449631,-0.434917535018532
"Gene.802",0.23383230155013,0.575572356261001,-0.481167091104566,-0.626289229914844,-0.413335358926389,0.792998866041865
"Gene.803",0.948773959020304,0.664213424296964,0.486371596563279,-0.24047235756016,-0.353187851370341,0.223430714489964
"Gene.804",-0.0272890094283555,-0.218283133711761,0.634342993187937,0.713830466976687,0.662330048813986,-0.318433511437566
"Gene.805",0.931474063494669,0.634617942142578,0.494926494752453,-0.210621649302,-0.207333527516595,0.239109978854877
"Gene.806",0.694242126284602,0.806754307965754,-0.00557308413261365,-0.574107798216303,-0.571631731767416,0.370714151999783
"Gene.807",0.874503762366533,0.929910730745092,0.221353296258881,-0.469369985124579,-0.40074795588906,0.431352322070233
"Gene.808",0.972049933056709,0.717580759649713,0.479159362615941,-0.265745951430935,-0.298854652988844,0.270483463362177
"Gene.809",0.387900173554504,-0.133470365405982,0.901871096716721,0.641724746167782,0.513883575396574,-0.374580120210629
"Gene.810",0.673380160040742,0.245507529648225,0.874842357277219,0.359532003514691,0.247913478219374,-0.26192825507605
"Gene.811",0.530053236278977,0.14920827399244,0.769653609315219,0.370531355387149,0.231105979967655,-0.276448943644415
"Gene.812",-0.32431563633772,-0.403618589339769,0.30334178467915,0.590497403681837,0.92348654261577,-0.266432772919338
"Gene.813",0.579742551109813,0.935106058991246,-0.138316572574766,-0.619542459413025,-0.508310281587392,0.573814740431902
"Gene.814",0.454254796324274,0.538812301829019,-0.292882811595938,-0.608571832239932,-0.670428317203054,0.584710510677581
"Gene.815",0.857022162350419,0.512167003590699,0.482611268903027,-0.147401470279757,-0.231039117528076,0.164892478682778
"Gene.816",-0.0396879810332745,0.497253106106554,-0.738345931891048,-0.742014294847628,-0.533184350073441,0.582421489114863
"Gene.817",0.903375276860511,0.814037805699933,0.302074869601823,-0.407363158227608,-0.413696644515083,0.361974316430821
"Gene.818",0.948521938414446,0.60535556967566,0.510690180726588,-0.219076410627415,-0.318385737836647,0.163782168317815
"Gene.819",-0.409195473210984,-0.635297256047457,0.366740073750416,0.729165448259162,0.536374228874844,-0.433962765674553
"Gene.820",0.874568400502041,0.686032051215921,0.325561968914377,-0.333518666225178,-0.255094169949587,0.411040185653589
"Gene.821",0.682716243661427,0.622159055652985,-0.0489254222945843,-0.596034766291044,-0.764932083829669,0.380921802914186
"Gene.822",0.845916205255847,0.8509716436167,0.19463881802174,-0.471683636833774,-0.400761578960122,0.438431296575954
"Gene.823",0.8969450291666,0.642906190036173,0.479275984737169,-0.20923237749973,-0.157944039167907,0.261479373848813
"Gene.824",0.947758066006331,0.63171343182538,0.467921087728025,-0.257196110774644,-0.337352974484442,0.203975180599695
"Gene.825",0.85995846385105,0.673641560930453,0.334256890560493,-0.342557765074622,-0.496146682158472,0.193062541376567
"Gene.826",0.928945589110227,0.663475501029144,0.494449209525157,-0.211263449860348,-0.16880677983476,0.253878500860324
"Gene.827",0.903778117437619,0.593765473151117,0.437298764387465,-0.219731837873016,-0.354480398106918,0.295092953892268
"Gene.828",0.811661633736368,0.487528460448248,0.482908235572612,-0.100302558364672,-0.0486687028476989,0.284416475255027
"Gene.829",0.802365518278039,0.541448959390516,0.314114375257649,-0.317582894220195,-0.254030402325688,0.236150577630643
"Gene.830",-0.375279927695082,-0.624817693366049,0.447135312608706,0.796578607269531,0.795309029672359,-0.460481890612638
"Gene.831",0.304088485451368,0.679514135845394,-0.375057315530794,-0.634913527554437,-0.432648640477599,0.628632221965848
"Gene.832",0.951062555545084,0.645683193324588,0.461118657852696,-0.258975008698728,-0.38867291086078,0.206902777274598
"Gene.833",0.876210467525262,0.912269040427366,0.254422071785285,-0.444682441272211,-0.402686012712552,0.39618977976799
"Gene.834",0.810377367236664,0.786826490400721,0.254011785640271,-0.356116637261454,-0.266232384323906,0.402119597215902
"Gene.835",0.0459300694483721,0.35619072975935,-0.656912568773693,-0.714139331810008,-0.635915737673964,0.511818499175413
"Gene.836",0.958188632557774,0.644451642725634,0.495768449309208,-0.224316113013518,-0.371194413201592,0.207100530960745
"Gene.837",0.953850225568291,0.770927975338901,0.44413317688661,-0.297646466788316,-0.313825827546255,0.26940414787596
"Gene.838",0.761139328456337,0.593593344263826,0.0940693795775501,-0.472573127775633,-0.353197898559718,0.513355699829666
