4170,4472,,4259,4170,4259,4247,4555,4072,4610
4174,4495,,4272,4174,4272,4272,,4075,
4205,4500,,4282,4205,4282,4274,,4090,
4222,4517,,4284,4222,4284,4282,,4094,
4234,4549,,4286,4234,4286,4284,,4096,
4247,4555,,4293,4247,4293,4286,,4109,
4272,4610,,4307,4272,4307,4293,,4115,
4282,4629,,4324,4282,4324,4346,,4138,
4284,,,4346,4284,4346,4367,,4170,
4286,,,4356,4286,4356,4375,,4196,
4293,,,4359,4293,4359,4384,,4210,
4300,,,4364,4300,4364,4463,,4214,
4307,,,4367,4307,4367,4472,,4247,
4322,,,4375,4322,4375,4500,,4259,
4324,,,4384,4324,4384,4608,,4272,
4345,,,4391,4345,4391,4610,,4282,
4356,,,4406,4356,4406,,,4284,
4367,,,4460,4367,4460,,,4286,
4375,,,4463,4375,4463,,,4324,
4448,,,4472,4448,4472,,,4356,
4463,,,4495,4463,4495,,,4367,
4472,,,4517,4472,4517,,,4372,
4496,,,4549,4496,4549,,,4463,
4498,,,4556,4498,4556,,,4472,
4500,,,4570,4500,4570,,,4495,
4517,,,4571,4517,4571,,,4500,
4549,,,4600,4549,4600,,,4549,
4571,,,,4571,,,,4555,
,,,,,,,,4571,
,,,,,,,,4610,
,,,,,,,,4629,
