"","V1","V2","V3"
"3041",0.29782,0.13842,0.19204
"3042",0.27644,0.11777,0.17115
"3043",0.30063,0.14152,0.19504
"3044",0.27803,0.11937,0.17274
"3045",0.30355,0.14454,0.19802
"3046",0.29368,0.13427,0.18789
"3047",0.31242,0.1531,0.20669
"3048",0.28624,0.12732,0.18078
"3049",0.28122,0.12207,0.17561
"3050",0.2979,0.13877,0.1923
"3051",0.24333,0.084661,0.13804
"3052",0.28886,0.13,0.18343
"3053",0.2743,0.11734,0.17014
"3054",0.27982,0.12222,0.17523
"3055",0.30945,0.15039,0.20389
"3056",0.3087,0.14949,0.20305
"3057",0.31444,0.15503,0.20865
"3058",0.24989,0.09102,0.14446
"3059",0.29542,0.13617,0.18974
"3060",0.30219,0.14275,0.19639
"3061",0.27465,0.11757,0.17041
"3062",0.29914,0.1404,0.1938
"3063",0.31954,0.16007,0.21371
"3064",0.28565,0.12754,0.18073
"3065",0.296,0.13686,0.19039
"3066",0.30988,0.15048,0.2041
"3067",0.26499,0.10611,0.15955
"3068",0.30321,0.14393,0.19751
"3069",0.28258,0.12326,0.17685
"3070",0.30395,0.14474,0.19829
"3071",0.25621,0.097101,0.15062
"3072",0.30601,0.14655,0.20019
"3073",0.28334,0.12432,0.17781
"3074",0.28991,0.13091,0.18439
"3075",0.28439,0.12547,0.17893
"3076",0.28294,0.1247,0.17793
"3077",0.28489,0.12721,0.18025
"3078",0.2964,0.13707,0.19067
"3079",0.30528,0.14581,0.19945
"3080",0.28426,0.12493,0.17853
"3081",0.30374,0.14432,0.19795
"3082",0.32175,0.16232,0.21595
"3083",0.2824,0.12373,0.17711
"3084",0.31786,0.15855,0.21214
"3085",0.29535,0.13602,0.18962
"3086",0.23194,0.072581,0.12619
"3087",0.2821,0.12414,0.17727
"3088",0.21109,0.029517,0.079889
"3089",0.2352,0.048536,0.10032
"3090",0.25779,0.069863,0.122
"3091",0.25292,0.069167,0.12014
"3092",0.26429,0.071256,0.12481
"3093",0.23901,0.050819,0.10303
"3094",0.28356,0.091786,0.14499
"3095",0.30152,0.10794,0.16164
"3096",0.24905,0.061895,0.11382
"3097",0.2865,0.093841,0.14729
"3098",0.26677,0.078094,0.13044
"3099",0.29525,0.10269,0.15611
"3100",0.30367,0.10952,0.16338
"3101",0.29049,0.097594,0.15111
"3102",0.2961,0.10162,0.15558
"3103",0.28126,0.090224,0.14322
"3104",0.30611,0.11181,0.16572
"3105",0.30346,0.10796,0.16219
"3106",0.31691,0.1205,0.17499
"3107",0.2656,0.074095,0.12722
"3108",0.26722,0.07763,0.13023
"3109",0.30213,0.10697,0.16111
"3110",0.26565,0.070007,0.12428
"3111",0.27507,0.085515,0.1381
"3112",0.3171,0.1218,0.17598
"3113",0.29993,0.10569,0.15957
"3114",0.27974,0.085796,0.1396
"3115",0.28474,0.091452,0.14507
"3116",0.26018,0.071126,0.12357
"3117",0.29897,0.10209,0.15671
"3118",0.28338,0.08897,0.1429
"3119",0.31541,0.1206,0.17464
"3120",0.30079,0.1061,0.16011
"3121",0.31574,0.11825,0.17304
"3122",0.27764,0.086855,0.13978
"3123",0.28195,0.08355,0.13859
"3124",0.30293,0.10804,0.16211
"3125",0.26703,0.081526,0.13299
"3126",0.29428,0.10056,0.1543
"3127",0.27818,0.082083,0.13648
"3128",0.26717,0.074186,0.12773
"3129",0.27398,0.087389,0.13915
"3130",0.29278,0.10018,0.15361
"3131",0.26827,0.083405,0.13469
"3132",0.26651,0.074288,0.12761
"3133",0.30023,0.10433,0.15868
"3134",0.31095,0.1149,0.16929
"3135",0.28101,0.090273,0.14319
"3136",0.26572,0.080561,0.13193
"3137",0.31359,0.11766,0.17201
"3138",0.27346,0.082692,0.13561
"3139",0.30843,0.11154,0.16616
"3140",0.29514,0.10155,0.15526
"3141",0.31724,0.12025,0.1749
"3142",0.30601,0.10951,0.16402
"3143",0.26718,0.079878,0.13184
"3144",0.25717,0.069579,0.12162
"3145",0.2547,0.054859,0.1103
"3146",0.3638,0.043219,0.11858
"3147",0.36165,0.045738,0.12
"3148",0.33372,0.030802,0.10201
"3149",0.37795,0.064807,0.13842
"3150",0.39825,0.076604,0.15221
"3151",0.37056,0.066664,0.1381
"3152",0.41158,0.084884,0.16168
"3153",0.37965,0.066264,0.13993
"3154",0.35169,0.061935,0.13005
"3155",0.43693,0.11008,0.18691
"3156",0.39647,0.075882,0.15124
"3157",0.3135,0.025952,0.093546
"3158",0.35215,0.061833,0.13008
"3159",0.40537,0.088442,0.16294
"3160",0.41094,0.08684,0.16303
"3161",0.30718,0.031471,0.096283
"3162",0.39917,0.080311,0.15527
"3163",0.40175,0.081813,0.15702
"3164",0.37181,0.065162,0.13725
"3165",0.29298,0.032199,0.093502
"3166",0.37532,0.063271,0.13662
"3167",0.40599,0.089396,0.16382
"3168",0.31936,0.045877,0.11017
"3169",0.23966,0.026671,0.076739
"3170",0.30613,0.038662,0.10154
"3171",0.38478,0.068405,0.14278
"3172",0.34602,0.054242,0.12283
"3173",0.30944,0.038052,0.10185
"3174",0.42171,0.09693,0.17328
"3175",0.32954,0.046348,0.11292
"3176",0.26785,0.026244,0.08304
"3177",0.31366,0.043909,0.10732
"3178",0.45079,0.1233,0.20028
"3179",0.26899,0.029855,0.086068
"3180",0.26891,0.027281,0.084083
"3181",0.37285,0.066534,0.13854
"3182",0.30445,0.039874,0.10207
"3183",0.3731,0.073495,0.14392
"3184",0.25626,0.024932,0.079312
"3185",0.31332,0.041174,0.10515
"3186",0.38026,0.070661,0.14344
"3187",0.42672,0.10155,0.17799
"3188",0.26889,0.028605,0.08509
"3189",0.22005,0.021731,0.068349
"3190",0.36668,0.068414,0.13853
"3191",0.4021,0.082311,0.15749
"3192",0.34536,0.049504,0.11905
"3193",0.39907,0.076646,0.15244
"3194",0.37223,0.060762,0.13398
"3195",0.41026,0.085773,0.16205
"3196",0.35665,0.053777,0.12497
"3197",0.3439,0.056472,0.12404
"3198",0.30728,0.036569,0.10021
"3199",0.30362,0.042409,0.10381
"3200",0.34273,0.049924,0.11875
"3201",0.40311,0.084389,0.15931
"3202",0.38575,0.059286,0.13603
"3203",0.35194,0.061883,0.13007
"3204",0.22894,0.019985,0.069105
"3205",0.30987,0.040242,0.10362
"3206",0.33879,0.052297,0.11964
"3207",0.27123,0.030827,0.087339
"3208",0.25512,0.026662,0.080366
"3209",0.2286,0.023317,0.071573
"3210",0.33198,0.04605,0.11326
"3211",0.2413,0.025658,0.07635
"3212",0.27613,0.032658,0.089892
"3213",0.34512,0.055653,0.1237
"3214",0.34162,0.051441,0.11966
"3215",0.36584,0.065962,0.13646
"3216",0.29868,0.035977,0.097732
"3217",0.27266,0.028913,0.086212
"3218",0.20488,0.019909,0.063391
"3219",0.24058,0.025661,0.076183
"3220",0.24542,0.022909,0.075216
"3221",0.41894,0.093157,0.16974
"3222",0.23577,0.025311,0.074784
"3223",0.29618,0.037857,0.098582
"3224",0.4413,0.1145,0.19132
"3225",0.31521,0.041506,0.10585
"3226",0.40819,0.083182,0.15958
"3227",0.28906,0.038814,0.097641
"3228",0.27465,0.030739,0.088075
"3229",0.38561,0.070219,0.14436
"3230",0.45911,0.13157,0.20857
"3231",0.29673,0.036653,0.09779
"3232",0.21864,0.02225,0.068416
"3233",0.32929,0.043254,0.11049
